"Origin","Destination","Number"
"Iran","Hungary",249
"China","Austria",248
"Stateless","Bulgaria",246
"Nigeria","Netherlands",235
"Bangladesh","Hungary",228
"Serbia/Kosovo","Norway",215
"Pakistan","Japan",212
"Iraq","Romania",211
"Serbia/Kosovo","Italy",209
"Syria","Korea",204
"Nigeria","Korea",203
"Albania","Norway",202
"Ukraine","Switzerland",199
"Afghanistan","Finland",198
"Pakistan","Netherlands",187
"Russia","Norway",187
"Russia","Netherlands",186
"Iraq","Norway",183
"Nigeria","Serbia",181
"Serbia/Kosovo","Denmark",180
"Somalia","Hungary",178
"Pakistan","Bulgaria",175
"Iraq","Greece",175
"Albania","Italy",175
"Nigeria","Hungary",174
"Mali","Serbia",171
"Mali","United.States",171
"Iran","Belgium",170
"Iran","France",169
"Russia","Finland",167
"Bangladesh","Sweden",165
"Mali","Switzerland",164
"Bangladesh","Norway",162
"Iran","Canada",161
"Nigeria","Spain",161
"Nigeria","Finland",157
"Ukraine","Portugal",157
"El.Salvador","Canada",151
"Russia","Switzerland",151
"Iraq","Denmark",150
"Syria","Finland",146
"Serbia/Kosovo","Luxembourg",145
"Pakistan","Spain",144
"Gambia","Sweden",141
"Stateless","Canada",140
"Nigeria","Ireland",139
"Ukraine","Denmark",133
"Ukraine","Norway",131
"China","Netherlands",126
"Afghanistan","Australia",124
"Somalia","Malta",121
"Bangladesh","Austria",119
"Somalia","Greece",118
"Iran","Norway",118
"Albania","Switzerland",118
"Iran","Switzerland",117
"Bangladesh","Turkey",116
"Russia","United.Kingdom",116
"China","Belgium",115
"Iraq","Spain",115
"Pakistan","Switzerland",115
"Syria","Poland",113
"Eritrea","Austria",112
"Nigeria","Belgium",112
"Ukraine","Greece",111
"Albania","Canada",110
"Somalia","Spain",110
"Eritrea","Hungary",109
"Pakistan","Belgium",108
"Pakistan","Norway",108
"Bangladesh","Serbia",108
"Syria","Czech.Rep.",107
"Stateless","United.States",107
"Iran","Bulgaria",106
"Albania","Finland",105
"El.Salvador","Italy",105
"Mali","Hungary",104
"Serbia/Kosovo","Finland",103
"Eritrea","Turkey",102
"Albania","Ireland",99
"Bangladesh","Ireland",99
"Gambia","France",98
"Afghanistan","Spain",98
"Nigeria","Denmark",97
"Gambia","Austria",96
